experimento,tamanho,otimizacao,tipo_acesso,repeticao,tempo_ms,soma
linha_coluna,512,O3,linha,1,0.114286,12974896.00
linha_coluna,512,O3,coluna,1,0.552572,12974896.00
linha_coluna,512,O3,linha,2,0.114263,12974896.00
linha_coluna,512,O3,coluna,2,0.592352,12974896.00
linha_coluna,512,O3,linha,3,0.118185,12974896.00
linha_coluna,512,O3,coluna,3,0.603159,12974896.00
linha_coluna,512,O3,linha,4,0.119708,12974896.00
linha_coluna,512,O3,coluna,4,0.611518,12974896.00
linha_coluna,512,O3,linha,5,0.114290,12974896.00
linha_coluna,512,O3,coluna,5,0.623366,12974896.00
linha_coluna,512,O3,linha,6,0.114250,12974896.00
linha_coluna,512,O3,coluna,6,0.611919,12974896.00
linha_coluna,512,O3,linha,7,0.116895,12974896.00
linha_coluna,512,O3,coluna,7,0.627841,12974896.00
linha_coluna,512,O3,linha,8,0.120178,12974896.00
linha_coluna,512,O3,coluna,8,0.613876,12974896.00
linha_coluna,512,O3,linha,9,0.114257,12974896.00
linha_coluna,512,O3,coluna,9,0.594659,12974896.00
linha_coluna,512,O3,linha,10,0.114288,12974896.00
linha_coluna,512,O3,coluna,10,0.587893,12974896.00
linha_coluna,512,O3,linha,11,0.117028,12974896.00
linha_coluna,512,O3,coluna,11,0.608897,12974896.00
linha_coluna,512,O3,linha,12,0.114269,12974896.00
linha_coluna,512,O3,coluna,12,0.620655,12974896.00
linha_coluna,512,O3,linha,13,0.127793,12974896.00
linha_coluna,512,O3,coluna,13,0.735192,12974896.00
linha_coluna,512,O3,linha,14,0.117191,12974896.00
linha_coluna,512,O3,coluna,14,0.624771,12974896.00
linha_coluna,512,O3,linha,15,0.117738,12974896.00
linha_coluna,512,O3,coluna,15,0.606289,12974896.00
linha_coluna,512,O3,linha,16,0.132377,12974896.00
linha_coluna,512,O3,coluna,16,0.683793,12974896.00
linha_coluna,512,O3,linha,17,0.118352,12974896.00
linha_coluna,512,O3,coluna,17,0.563689,12974896.00
