experimento,tamanho,otimizacao,tipo_acesso,repeticao,tempo_ms,soma
linha_coluna,1024,O0,coluna,25,4.794577,51903600.00
linha_coluna,1024,O0,linha,26,1.913268,51903600.00
linha_coluna,1024,O0,coluna,26,8.094771,51903600.00
linha_coluna,1024,O0,linha,27,1.910954,51903600.00
linha_coluna,1024,O0,coluna,27,6.919089,51903600.00
linha_coluna,1024,O0,linha,28,1.911748,51903600.00
linha_coluna,1024,O0,coluna,28,8.669858,51903600.00
linha_coluna,1024,O0,linha,29,1.881349,51903600.00
linha_coluna,1024,O0,coluna,29,5.936003,51903600.00
linha_coluna,1024,O0,linha,30,1.884022,51903600.00
linha_coluna,1024,O0,coluna,30,5.325025,51903600.00
linha_coluna,2048,O0,linha,1,7.541695,207617856.00
linha_coluna,2048,O0,coluna,1,27.397993,207617856.00
linha_coluna,2048,O0,linha,2,7.554541,207617856.00
linha_coluna,2048,O0,coluna,2,26.837008,207617856.00
linha_coluna,2048,O0,linha,3,7.541775,207617856.00
linha_coluna,2048,O0,coluna,3,28.262140,207617856.00
linha_coluna,2048,O0,linha,4,7.599580,207617856.00
linha_coluna,2048,O0,coluna,4,33.210906,207617856.00
linha_coluna,2048,O0,linha,5,7.561837,207617856.00
linha_coluna,2048,O0,coluna,5,34.925598,207617856.00
linha_coluna,2048,O0,linha,6,7.572244,207617856.00
linha_coluna,2048,O0,coluna,6,33.512802,207617856.00
linha_coluna,2048,O0,linha,7,7.545820,207617856.00
linha_coluna,2048,O0,coluna,7,34.271506,207617856.00
linha_coluna,2048,O0,linha,8,7.899678,207617856.00
linha_coluna,2048,O0,coluna,8,30.318969,207617856.00
linha_coluna,2048,O0,linha,9,7.523894,207617856.00
linha_coluna,2048,O0,coluna,9,29.521978,207617856.00
linha_coluna,2048,O0,linha,10,7.529259,207617856.00
linha_coluna,2048,O0,coluna,10,32.957075,207617856.00
linha_coluna,2048,O0,linha,11,7.560691,207617856.00
linha_coluna,2048,O0,coluna,11,30.908301,207617856.00
linha_coluna,2048,O0,linha,12,7.529056,207617856.00
