experimento,tamanho,otimizacao,tipo_acesso,repeticao,tempo_ms,soma
linha_coluna,1024,O2,coluna,25,2.966666,51903600.00
linha_coluna,1024,O2,linha,26,0.525295,51903600.00
linha_coluna,1024,O2,coluna,26,2.862681,51903600.00
linha_coluna,1024,O2,linha,27,0.508933,51903600.00
linha_coluna,1024,O2,coluna,27,3.393035,51903600.00
linha_coluna,1024,O2,linha,28,0.707208,51903600.00
linha_coluna,1024,O2,coluna,28,4.000542,51903600.00
linha_coluna,1024,O2,linha,29,0.563781,51903600.00
linha_coluna,1024,O2,coluna,29,3.877898,51903600.00
linha_coluna,1024,O2,linha,30,0.585720,51903600.00
linha_coluna,1024,O2,coluna,30,4.291920,51903600.00
linha_coluna,2048,O2,linha,1,2.290298,207617856.00
linha_coluna,2048,O2,coluna,1,22.162913,207617856.00
linha_coluna,2048,O2,linha,2,2.268629,207617856.00
linha_coluna,2048,O2,coluna,2,23.354118,207617856.00
linha_coluna,2048,O2,linha,3,2.275928,207617856.00
linha_coluna,2048,O2,coluna,3,23.801165,207617856.00
linha_coluna,2048,O2,linha,4,2.264952,207617856.00
linha_coluna,2048,O2,coluna,4,25.361459,207617856.00
linha_coluna,2048,O2,linha,5,3.236034,207617856.00
linha_coluna,2048,O2,coluna,5,38.661629,207617856.00
linha_coluna,2048,O2,linha,6,2.427527,207617856.00
linha_coluna,2048,O2,coluna,6,26.375841,207617856.00
linha_coluna,2048,O2,linha,7,2.296099,207617856.00
linha_coluna,2048,O2,coluna,7,20.762901,207617856.00
linha_coluna,2048,O2,linha,8,2.363977,207617856.00
linha_coluna,2048,O2,coluna,8,20.964138,207617856.00
linha_coluna,2048,O2,linha,9,2.294033,207617856.00
linha_coluna,2048,O2,coluna,9,22.004921,207617856.00
linha_coluna,2048,O2,linha,10,2.283978,207617856.00
linha_coluna,2048,O2,coluna,10,22.331457,207617856.00
linha_coluna,2048,O2,linha,11,2.346983,207617856.00
linha_coluna,2048,O2,coluna,11,23.818016,207617856.00
linha_coluna,2048,O2,linha,12,2.354601,207617856.00
linha_coluna,2048,O2,coluna,12,25.727637,207617856.00
linha_coluna,2048,O2,linha,13,2.470974,207617856.00
linha_coluna,2048,O2,coluna,13,26.662407,207617856.00
linha_coluna,2048,O2,linha,14,2.263924,207617856.00
linha_coluna,2048,O2,coluna,14,23.277677,207617856.00
linha_coluna,2048,O2,linha,15,2.280808,207617856.00
linha_coluna,2048,O2,coluna,15,20.477995,207617856.00
linha_coluna,2048,O2,linha,16,2.376501,207617856.00
linha_coluna,2048,O2,coluna,16,21.825768,207617856.00
linha_coluna,2048,O2,linha,17,2.408166,207617856.00
linha_coluna,2048,O2,coluna,17,20.148446,207617856.00
linha_coluna,2048,O2,linha,18,2.231328,207617856.00
linha_coluna,2048,O2,coluna,18,23.553853,207617856.00
linha_coluna,2048,O2,linha,19,2.426517,207617856.00
linha_coluna,2048,O2,coluna,19,20.685406,207617856.00
linha_coluna,2048,O2,linha,20,2.301463,207617856.00
linha_coluna,2048,O2,coluna,20,22.172642,207617856.00
linha_coluna,2048,O2,linha,21,2.310011,207617856.00
linha_coluna,2048,O2,coluna,21,22.387610,207617856.00
linha_coluna,2048,O2,linha,22,2.381637,207617856.00
linha_coluna,2048,O2,coluna,22,21.792398,207617856.00
linha_coluna,2048,O2,linha,23,2.496699,207617856.00
linha_coluna,2048,O2,coluna,23,21.754259,207617856.00
linha_coluna,2048,O2,linha,24,2.445468,207617856.00
linha_coluna,2048,O2,coluna,24,24.476981,207617856.00
linha_coluna,2048,O2,linha,25,2.374753,207617856.00
linha_coluna,2048,O2,coluna,25,26.873130,207617856.00
linha_coluna,2048,O2,linha,26,2.423613,207617856.00
linha_coluna,2048,O2,coluna,26,26.316604,207617856.00
linha_coluna,2048,O2,linha,27,2.565587,207617856.00
linha_coluna,2048,O2,coluna,27,24.455625,207617856.00
linha_coluna,2048,O2,linha,28,2.466627,207617856.00
linha_coluna,2048,O2,coluna,28,28.404791,207617856.00
linha_coluna,2048,O2,linha,29,2.207886,207617856.00
linha_coluna,2048,O2,coluna,29,23.985584,207617856.00
linha_coluna,2048,O2,linha,30,2.683657,207617856.00
linha_coluna,2048,O2,coluna,30,21.963063,207617856.00
linha_coluna,4096,O2,linha,1,9.507585,830471520.00
linha_coluna,4096,O2,coluna,1,166.340687,830471520.00
linha_coluna,4096,O2,linha,2,9.782966,830471520.00
linha_coluna,4096,O2,coluna,2,186.047091,830471520.00
linha_coluna,4096,O2,linha,3,10.471203,830471520.00
linha_coluna,4096,O2,coluna,3,171.143570,830471520.00
linha_coluna,4096,O2,linha,4,9.932770,830471520.00
linha_coluna,4096,O2,coluna,4,168.792837,830471520.00
linha_coluna,4096,O2,linha,5,9.098737,830471520.00
linha_coluna,4096,O2,coluna,5,189.583244,830471520.00
linha_coluna,4096,O2,linha,6,10.416590,830471520.00
linha_coluna,4096,O2,coluna,6,172.922102,830471520.00
linha_coluna,4096,O2,linha,7,9.155883,830471520.00
linha_coluna,4096,O2,coluna,7,171.040310,830471520.00
linha_coluna,4096,O2,linha,8,9.478168,830471520.00
linha_coluna,4096,O2,coluna,8,186.860681,830471520.00
linha_coluna,4096,O2,linha,9,9.819587,830471520.00
linha_coluna,4096,O2,coluna,9,174.911593,830471520.00
linha_coluna,4096,O2,linha,10,9.307746,830471520.00
linha_coluna,4096,O2,coluna,10,186.469502,830471520.00
linha_coluna,4096,O2,linha,11,9.266407,830471520.00
linha_coluna,4096,O2,coluna,11,163.952792,830471520.00
linha_coluna,4096,O2,linha,12,9.147258,830471520.00
linha_coluna,4096,O2,coluna,12,160.526969,830471520.00
linha_coluna,4096,O2,linha,13,9.209289,830471520.00
linha_coluna,4096,O2,coluna,13,163.906683,830471520.00
linha_coluna,4096,O2,linha,14,9.262681,830471520.00
linha_coluna,4096,O2,coluna,14,163.127944,830471520.00
linha_coluna,4096,O2,linha,15,9.217188,830471520.00
linha_coluna,4096,O2,coluna,15,160.381769,830471520.00
linha_coluna,4096,O2,linha,16,9.140534,830471520.00
linha_coluna,4096,O2,coluna,16,166.526333,830471520.00
linha_coluna,4096,O2,linha,17,9.256922,830471520.00
linha_coluna,4096,O2,coluna,17,160.700187,830471520.00
linha_coluna,4096,O2,linha,18,9.198625,830471520.00
linha_coluna,4096,O2,coluna,18,160.464299,830471520.00
linha_coluna,4096,O2,linha,19,9.200818,830471520.00
linha_coluna,4096,O2,coluna,19,164.150315,830471520.00
linha_coluna,4096,O2,linha,20,9.531394,830471520.00
linha_coluna,4096,O2,coluna,20,166.798975,830471520.00
linha_coluna,4096,O2,linha,21,9.351705,830471520.00
linha_coluna,4096,O2,coluna,21,163.020957,830471520.00
linha_coluna,4096,O2,linha,22,9.233290,830471520.00
linha_coluna,4096,O2,coluna,22,170.679085,830471520.00
linha_coluna,4096,O2,linha,23,9.332619,830471520.00
linha_coluna,4096,O2,coluna,23,162.347509,830471520.00
linha_coluna,4096,O2,linha,24,9.205373,830471520.00
linha_coluna,4096,O2,coluna,24,160.602441,830471520.00
linha_coluna,4096,O2,linha,25,9.553227,830471520.00
linha_coluna,4096,O2,coluna,25,174.956057,830471520.00
linha_coluna,4096,O2,linha,26,9.332269,830471520.00
linha_coluna,4096,O2,coluna,26,163.793394,830471520.00
linha_coluna,4096,O2,linha,27,9.191232,830471520.00
linha_coluna,4096,O2,coluna,27,160.184305,830471520.00
linha_coluna,4096,O2,linha,28,9.268089,830471520.00
linha_coluna,4096,O2,coluna,28,162.611332,830471520.00
linha_coluna,4096,O2,linha,29,9.163069,830471520.00
linha_coluna,4096,O2,coluna,29,175.211269,830471520.00
linha_coluna,4096,O2,linha,30,9.281922,830471520.00
linha_coluna,4096,O2,coluna,30,162.002353,830471520.00
