tamanho,otimizacao,tipo_acesso,media_ms,mediana_ms,desvio_padrao_ms,minimo_ms,maximo_ms,quantidade_medicoes
512,O0,coluna,0.55125116,0.539871,0.03669362158659193,0.518596,0.663036,25
512,O0,linha,0.47229140000000003,0.471636,0.007033075246054646,0.463155,0.498046,25
512,O2,coluna,0.5687512,0.559768,0.02200126213046275,0.545135,0.625898,25
512,O2,linha,0.11841404000000001,0.117385,0.004113524821447742,0.114252,0.131043,25
512,O3,coluna,0.61004656,0.608743,0.03646764208409059,0.546704,0.735192,25
512,O3,linha,0.11895363999999999,0.117028,0.0060150766819717285,0.11425,0.136602,25
1024,O0,coluna,5.36318952,4.794577,1.153671474377206,4.27588,8.669858,25
1024,O0,linha,1.88777624,1.883197,0.013536021369787066,1.867306,1.916558,25
1024,O2,coluna,3.28630524,3.171173,0.36749085979475754,2.853147,4.29192,25
1024,O2,linha,0.532894,0.519093,0.0489241104117728,0.480066,0.707208,25
1024,O3,coluna,2.93748788,2.816725,0.40035526394746385,2.456051,4.093103,25
1024,O3,linha,0.52355776,0.505406,0.06743013176261287,0.476753,0.806426,25
2048,O0,coluna,28.83072648,28.507058,2.4680308317711885,25.479911,34.271506,25
2048,O0,linha,7.58188404,7.569227,0.07445405773332076,7.51816,7.899678,25
2048,O2,coluna,23.327966,22.38761,2.3099190201776736,20.148446,28.404791,25
2048,O2,linha,2.37931268,2.374753,0.10786406117838007,2.207886,2.683657,25
2048,O3,coluna,25.8554528,25.082303,3.1806931864249477,20.473864,34.549942,25
2048,O3,linha,2.4828514,2.370996,0.4345132381442289,2.246266,4.480347,25
4096,O0,coluna,194.69046935999998,191.353551,8.365055986112823,187.704268,213.884857,25
4096,O0,linha,30.890534640000002,30.152276,2.4113714997974505,29.991771,40.269329,25
4096,O2,coluna,167.12596624000003,163.906683,7.694901620161354,160.184305,186.860681,25
4096,O2,linha,9.3408754,9.262681,0.2726154313564559,9.140534,10.41659,25
4096,O3,coluna,167.58771683999998,165.711656,5.320955631411299,158.99672,178.223131,25
4096,O3,linha,9.45430336,9.30926,0.4796892765157881,9.114491,11.267307,25
